datahora;nome_drs;pacientes_uti_mm7d;total_covid_uti_mm7d;ocupacao_leitos;pop;leitos_pc;internacoes_7d;internacoes_7d_l;internacoes_7v7
08/02/2021;DRS 06 Bauru;246,43;271,43;90,79;1741281;15,59;553;536;3,17
08/02/2021;DRS 07 Campinas;549,57;755,86;72,71;4562125;16,57;736;896;-17,86
08/02/2021;DRS 08 Franca;93;112;83,04;696336;16,08;148;157;-5,73
08/02/2021;DRS 09 Marília;145,43;199,29;72,97;1109670;17,96;294;344;-14,53
08/02/2021;DRS 10 Piracicaba;197,43;303,14;65,13;1539600;19,69;452;402;12,44
08/02/2021;DRS 11 Presidente Prudente;65,86;101,57;64,84;752260;13,5;196;181;8,29
08/02/2021;DRS 12 Registro;22,43;49;45,78;278754;17,58;48;50;-4
08/02/2021;DRS 13 Ribeirão Preto;198,71;267,14;74,38;1477530;18,08;413;445;-7,19
08/02/2021;DRS 14 São João da Boa Vista;70,57;128,57;54,89;809836;15,88;201;160;25,63
08/02/2021;DRS 15 São José do Rio Preto;240,43;399,57;60,17;1570421;25,44;496;486;2,06
08/02/2021;DRS 16 Sorocaba;223,43;322,14;69,36;2461760;13,09;476;454;4,85
08/02/2021;DRS 17 Taubaté;357,57;508,86;70,27;2489629;20,44;705;807;-12,64
08/02/2021;Estado de São Paulo;5985,71;8953,71;66,85;44639899;20,06;10487;10724;-2,21
09/02/2021;DRS 01 Grande São Paulo;3141;4777,14;65,75;21138247;22,6;4874;5035;-3,2
09/02/2021;DRS 02 Araçatuba;63,71;126,86;50,22;764041;16,6;114;118;-3,39
09/02/2021;DRS 03 Araraquara;126,29;136,71;92,38;991435;13,79;357;311;14,79
09/02/2021;DRS 04 Baixada Santista;177,14;396,86;44,64;1831884;21,66;276;206;33,98
09/02/2021;DRS 05 Barretos;63,57;94;67,63;425090;22,11;180;137;31,39
09/02/2021;DRS 06 Bauru;250,14;273;91,63;1741281;15,68;553;539;2,6
09/02/2021;DRS 07 Campinas;547,14;757,57;72,22;4562125;16,61;710;886;-19,86
09/02/2021;DRS 08 Franca;93,43;114;81,96;696336;16,37;150;152;-1,32
09/02/2021;DRS 09 Marília;145;200,14;72,45;1109670;18,04;304;317;-4,1
09/02/2021;DRS 10 Piracicaba;197,29;303,57;64,99;1539600;19,72;456;399;14,29
09/02/2021;DRS 11 Presidente Prudente;68,43;102;67,09;752260;13,56;201;177;13,56
09/02/2021;DRS 12 Registro;23;49;46,94;278754;17,58;55;49;12,24
09/02/2021;DRS 13 Ribeirão Preto;201,29;270,29;74,47;1477530;18,29;400;447;-10,51
09/02/2021;DRS 14 São João da Boa Vista;72;129,29;55,69;809836;15,96;201;172;16,86
09/02/2021;DRS 15 São José do Rio Preto;244,71;400,43;61,11;1570421;25,5;494;475;4
09/02/2021;DRS 16 Sorocaba;222;321,57;69,04;2461760;13,06;425;465;-8,6
09/02/2021;DRS 17 Taubaté;353,14;516,71;68,34;2489629;20,75;674;790;-14,68
09/02/2021;Estado de São Paulo;5989,29;8969,14;66,78;44639899;20,09;10424;10675;-2,35
10/02/2021;DRS 01 Grande São Paulo;3127;4768,71;65,57;21138247;22,56;4822;5069;-4,87
10/02/2021;DRS 02 Araçatuba;63,86;126,14;50,63;764041;16,51;116;113;2,65
10/02/2021;DRS 03 Araraquara;130,29;140,43;92,78;991435;14,16;379;314;20,7
10/02/2021;DRS 04 Baixada Santista;174,43;397,57;43,87;1831884;21,7;265;219;21
10/02/2021;DRS 05 Barretos;65,71;94;69,9;425090;22,11;183;124;47,58
